module,dataset,seed,ap,complete,error,log
pointpillars,v2xradarv,2026,39.3018,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_v2xradarv_seed2026_gpu2.log
pointpillars,v2xradarv,2027,41.2274,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_v2xradarv_seed2027_gpu2.log
pointpillars,v2xradarv,2028,40.067,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_v2xradarv_seed2028_gpu2.log
range2,astyx,2028,26.2066,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_astyx_seed2028_gpu0.log
range2,astyx,2035,25.8971,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_astyx_seed2035_gpu0.log
range2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_kradar_seed2035_gpu0.log
range2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_kradar_seed2035_gpu1.log
range2,kradar,2035,50.4802,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_kradar_seed2035_gpu2.log
range2,truckscenes,2028,14.6804,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_truckscenes_seed2028_gpu1.log
range2,truckscenes,2035,20.2165,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_truckscenes_seed2035_gpu1.log
range2,v2xradarv,2028,33.4901,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_v2xradarv_seed2028_gpu2.log
range2,v2xradarv,2035,40.7185,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range2_v2xradarv_seed2035_gpu0.log
range3,astyx,2028,28.1613,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_astyx_seed2028_gpu0.log
range3,astyx,2035,25.8971,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_astyx_seed2035_gpu0.log
range3,kradar,2034,48.9803,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_kradar_seed2034_gpu2.log
range3,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_kradar_seed2035_gpu0.log
range3,kradar,2035,50.4802,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_kradar_seed2035_gpu1.log
range3,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_kradar_seed2035_gpu2.log
range3,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_kradar_seed2035_gpu3.log
range3,truckscenes,2028,15.7983,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_truckscenes_seed2028_gpu1.log
range3,truckscenes,2035,20.2165,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_truckscenes_seed2035_gpu3.log
